1;"leye";"USA";"LEYE (LETTUCE ENTERTAINT YOU ENTERPRISES.)";"CADENA DE 75 RESTAURANTES DE ALTO NIVEL, EN VARIOS ESTADOS";"www.leye.com";"Vicepresidente de compras";"INGLÉS";"X";"X";"X";"X";"X";"X";;;"X";"X";;;;"X";;;;"SAL"
2;"ciaoimports";"USA";"CIAO IMPORTS";"IMPORTADOR DE ALIMENTOS SELECTOS";"www.ciaoimports.com";"Vicepresidente de compras";"INGLÉS";"X";;"X";"X";;;"X";"X";"X";;;;"X";"X";"X";;;
3;"fruexaxel";"ALEMANIA";"FRUEX Axel Löffler";"AGENCIA DE COMPRAS PARA GRANDES SUPERFICIES";"www.fruex.com";"Propietario";"INGLÉS, ESPAÑOL";;;;;;;;;;;"X";;;;;"X";;
4;"vascopinto";"PORTUGAL";"VASCO PINTO & AGOSTINHO SOUSA";"COMERCIALIZADOR DE HIERBAS AROMÁTICAS Y LEGUMBRES";"N/A";"Responsable técnico";"PORTUGUÉS";;;;;;;;;;;;"X";;;;"X";;
5;"fareastinc";"JAPON";"FAR EAST, INC.";"IMPORTADOR Y DISTRIBUIDOR DE PRODUCTOS ALIMENTARIOS";"www.fareastinc.co.jp";"PRESIDENTE";"INGLÉS";"X";;"X";;;;;;"X";;;;;;;;"X";"PURÉ DE FRUTAS"
6;"lomasnatural";"MEXICO";"LO MAS NATURAL, SA DE CV";"IMPORTADOR DE LA CADENA DE RESTAURANTES SAKS";"www.saks.com.mx";"PRESIDENTE";"ESPAÑOL";"X";"X";"X";"X";"X";;;;;"X";;"X";"X";"X";"X";"X";;
7;"bacheldrewatermill";"REINO UNIDO";"BACHELDRE WATERMILL";"PRODUCTOR DE HARINAS E IMPORTADOR DE ALIMENTOS SELECTOS";"www.bacheldremill.co.uk";"DIRECTOR";"INGLÉS";"X";;"X";"X";;;"X";"X";"X";;;"X";;;;;;"PASTA, ARROZ "
8;"WINDMILLORGANICS";"REINO UNIDO";"WINDMILL ORGANICS";"DISTRIBUIDOR DE ALIMENTOS UNICAMENTE ECOLOGICOS, BAJO MARCA PROPIA";"www.windmillsorganics.com";"DIRECTOR";"INGLÉS";"X";;;"X";"X";;"X";"X";;"X";"X";;"X";;;;;"ALIMENTOS VEGETARIANOS Y SIN GLUTEN"
9;"BIOPONT";"HUNGRIA";"BIOPONT";"DISTRIBUIDOR DE ALIMENTOS ECOLÓGICOS Y VEGETARIANOS";"www.biopont.com";"DIRECTOR GERENTE";"INGLÉS, ESPAÑOL";"X";;"X";"X";"X";;;;"X";;;;"X";"X";;;"X";
10;"CHEFSWAREHOUSEWESTCOAST";"USA";"CHEF'S WAREHOUSE WEST COAST";"DISTRIBUIDOR DE ALIMENTOS SELECTOS";"www.chefswarehouse.com";"Responsable compras";"INGLÉS";"X";;;;;"X";;;"X";"X";;;;"X";;;"X";"MEMBRILLO"
11;"LAESPANYOLAMEATS";"USA";"LA ESPAÑOLA MEATS";"IMPORTADOR DE COMIDA ESPAÑOLA";"www.donajuana.com";"DIRECTORA";"INGLÉS, ESPAÑOL";"X";;;"X";;;;;;"X";;;"X";;;;"X";"MEMBRILLO"
12;"BOMAG";"ESLOVAQUIA";"BOMAG";"DISTRIBUCIÓN MAYORISTA DE ALIMENTOS ECOLÓGICOS Y SIN GLUTEN";"www.bomag-ds.sk";"Representante comercial ";"ESPAÑOL";;"X";;;"X";;;;;"X";;"X";"X";"X";;"X";"X";
13;"BIOPURUS";"ESLOVAQUIA";"BIOPURUS";"IMPORTADOR Y DISTRIBUIDOR DE COMPLEMENTOS NUTRICIONALES Y ACEITES";"www.biopurus.sk";"Representante comercial ";"INGLÉS";"X";"X";;;;;"X";;;;"X";;;;;;"X";"ACEITES PRENSADOS EN FRIO (CALABAZA, LINO, GIRASOL, ALBARICOQUE, CACAHUETES...)"
14;"SPANISCHEGARTEN";"ALEMANIA";"SPANISCHE GARTEN";"IMPORTADOR DE ALIMENTOS SELECTOS";"www.spanische-garten.de";"DIRECTOR";"ESPAÑOL";"X";"X";"X";"X";"X";"X";;;;"X";"X";;"X";"X";;"X";"X";
15;"IBERIAFOODS";"USA";"IBERIA FOODS";"IMPORTADOR DE ALIMENTOS SELECTOS";"N/A";"Representante comercial ";"INGLÉS, ESPAÑOL";"X";"X";;"X";;"X";;;"X";;;;"X";"X";;;;
16;"tekla";"USA";"TEKLA";"IMPORTADOR Y DISTRIBUIDOR DE ALIMENTOS GOURMET";"N/A";"PRESIDENTE";"INGLÉS";;;;;;"X";;;;"X";;;;;;;;
17;"BIOFRADE";"PORTUGAL";"BIOFRADE";"IMPORTADOR DE FRUTAS Y VERDURAS";"www.biofrade.com";"GERENTE";"ESPAÑOL";;;;;;;;;;;;"X";;;;"X";;"PRODUCTORES DE AJO, CEBOLLA Y ZANAHORIA"
18;"LAPRIMAVERA";"BELGICA";"LA PRIMAVERA";"IMPORTADOR DE VINOS Y PRODUCTOS SELECTOS";"www.iberwines.com";"GERENTE";"INGLÉS, ESPAÑOL";"X";"X";;"X";"X";"X";;;;;"X";;;;;;"X";
19;"HANSEATIK";"MEXICO";"HANSEATIK";"IMPORTADOR DE PRODUCTOS GOURMET";"www.hanseatik.com";"Responsable productos orgánicos";"ESPAÑOL";"X";;"X";"X";"X";;;;"X";;;;"X";"X";;;;
