1,Coruña (A),12
2,Álava,5
3,Albacete,8
4,Alicante/Alacant,17
5,Almería,1
6,Asturias,3
7,Ávila,9
8,Badajoz,11
9,Barcelona,10
10,Burgos,9
11,Cáceres,11
12,Cádiz,1
13,Cantabria,7
14,Castellón/Castelló,17
15,Ceuta,18
16,Ciudad Real,8
17,Córdoba,1
18,Cuenca,8
19,Girona,10
20,Palmas (Las),6
21,Granada,1
25,Guadalajara,8
26,Guipúzcoa,5
27,Huelva,1
28,Huesca,2
29,Balears (Illes),4
30,Jaén,1
31,Rioja (La),16
32,León,9
33,Lleida,10
34,Lugo,12
35,Madrid,13
36,Málaga,1
37,Melilla,18
38,Murcia,14
39,Navarra,15
40,Ourense,12
41,Palencia,9
42,Pontevedra,12
43,Salamanca,9
44,Segovia,9
45,Sevilla,1
46,Soria,9
47,Tarragona,10
48,Santa Cruz de Tenerife,6
49,Teruel,2
50,Toledo,8
51,Valencia/València,17
52,Valladolid,9
53,Vizcaya,5
54,Zamora,9
55,Zaragoza,2
